Time    Pdcmap    Quarter
     586.651864       0.988037       7.000000
     586.672297       0.988261       7.000000
     586.692730       0.988401       7.000000
     586.713163       0.988224       7.000000
     586.733596       0.988602       7.000000
     586.754028       0.988236       7.000000
     586.774461       0.988859       7.000000
     586.794894       0.988401       7.000000
     586.815327       0.988005       7.000000
     586.835760       0.988329       7.000000
     586.856193       0.988372       7.000000
     586.876626       0.988771       7.000000
     586.897059       0.988365       7.000000
     586.917492       0.988329       7.000000
     586.937925       0.988406       7.000000
     586.958357       0.988471       7.000000
     586.978790       0.988357       7.000000
     586.999223       0.988503       7.000000
     587.019656       0.988478       7.000000
     587.040089       0.988334       7.000000
     587.060522       0.988406       7.000000
     587.080955       0.988322       7.000000
     587.101388       0.988438       7.000000
     587.121821       0.988470       7.000000
     587.142254       0.988273       7.000000
     587.162686       0.988262       7.000000
     587.183119       0.988575       7.000000
     587.203552       0.988508       7.000000
     587.223985       0.988307       7.000000
     587.244418       0.988359       7.000000
     587.264851       0.988411       7.000000
     587.285284       0.988472       7.000000
     587.305717       0.988200       7.000000
     587.326150       0.988151       7.000000
     587.346583       0.988350       7.000000
     587.367016       0.988379       7.000000
     587.387448       0.988404       7.000000
     587.407881       0.988236       7.000000
     587.428314       0.988353       7.000000
     587.448747       0.988495       7.000000
     587.469180       0.988568       7.000000
     587.489613       0.988546       7.000000
     587.510046       0.988376       7.000000
     587.530479       0.988503       7.000000
     587.550912       0.988192       7.000000
     587.571345       0.988438       7.000000
     587.591778       0.988324       7.000000
     587.612210       0.988395       7.000000
     587.632643       0.988386       7.000000
     587.653076       0.988492       7.000000
     587.673509       0.988255       7.000000
     587.693942       0.988439       7.000000
     587.714375       0.988253       7.000000
     587.734808       0.988346       7.000000
     587.755241       0.988479       7.000000
     587.775674       0.988120       7.000000
     587.796107       0.988330       7.000000
     587.816539       0.988219       7.000000
     587.836972       0.988366       7.000000
     587.857405       0.988567       7.000000
     587.877838       0.988429       7.000000
